word,count
и,48
в,29
на,21
он,19
с,16
не,15
свойкин,14
к,12
что,12
его,8
как,8
провизор,8
а,7
же,7
за,7
из,7
я,7
но,6
у,6
аптеку,5
него,5
от,5
то,5
все,4
глаза,4
для,4
еще,4
кассир,4
копеек,4
меня,4
мраморной,4
ни,4
по,4
подумал,4
рубль,4
ступки,4
учитель,4
шесть,4
больше,3
был,3
всем,3
газету,3
глядя,3
голове,3
голову,3
до,3
домой,3
мне,3
назад,3
нет,3
образы,3
около,3
подошел,3
принялся,3
провизора,3
себя,3
словно,3
только,3
туманные,3
тут,3
фигуры,3
что-то,3
grana,2
аптеки,2
банками,2
болезнь,2
болен,2
бы,2
было,2
быть,2
быть-то,2
во,2
волос,2
вот,2
времени,2
глазами,2
головы,2
дело,2
диван,2
долго,2
должно,2
дочитал,2
другого,2
думал,2
ее,2
ему,2
ждать,2
закинув,2
замелькали,2
знаю,2
или,2
капли,2
конторке,2
лекарства,2
лица,2
лоснящейся,2
мелочь,2
микстуру,2
мое,2
наконец,2
написал,2
нельзя,2
о,2
они,2
ответил,2
отправился,2
перед,2
пожалуйста,2
полки,2
получите,2
попросил,2
порошками,2
пробормотал,2
провизором,2
провизору,2
ращения,2
рецепт,2
рубля,2
руки,2
свойкина,2
себе,2
сказал,2
сквозь,2
склянку,2
сколько,2
солидно,2
стал,2
стало,2
стоял,2
стук,2
стука,2
так,2
точки,2
уж,2
фигур,2
физиономию,2
чего,2
читал,2
ы,2
этих,2
это,2
этого,2
1,1
10,1
2,1
albi,1
calomeli,1
decem,1
duo,1
ja,1
jа,1
numero,1
oleum,1
quinque,1
sacchari,1
semen,1
адельгейма,1
алексеич,1
аптек,1
аптекам,1
аптеке,1
аптечной,1
аптечный,1
бакенами,1
балласта,1
банках,1
баночки,1
беседует,1
бесчувственной,1
благодаря,1
ближнего,1
бог,1
богатой,1
болезненное,1
боли,1
болтала,1
больно,1
больному,1
бродили,1
будет,1
будут,1
будьте,1
бычачьей,1
бычачья,1
вазочками,1
вам,1
вдруг,1
венец,1
вечен,1
вечер,1
взбираясь,1
вздохнул,1
взнесите,1
взяв,1
взял,1
взяла,1
виде,1
видел,1
видимостям,1
видя,1
вне,1
вниз,1
вновь,1
внуки,1
внушительно,1
возьмут,1
войдя,1
вопрос,1
вошел,1
время,1
всевозможные,1
всего,1
вспомнил,1
встать,1
втридорога,1
вы,1
вылизано,1
высокий,1
высыпались,1
выутюженному,1
выутюжено,1
выхоленными,1
вычищено,1
вышел,1
газете,1
газовые,1
где,1
где-то,1
генциана,1
глубине,1
глубины,1
глубоко,1
глухим,1
глядели,1
гм,1
говорят,1
годами,1
головной,1
головой,1
голос,1
голосом,1
гоняя,1
горело,1
горлышку,1
горячка,1
господин,1
господину,1
готово,1
гримасу,1
громко,1
громче,1
грязном,1
да,1
дай,1
две,1
движением,1
деды,1
деле,1
деньгами,1
деньги,1
деревне,1
дерут,1
длинными,1
добрался,1
доктор,1
доктора,1
докторов,1
домашний,1
допотопнее,1
дорогими,1
достал,1
другая,1
егор,1
ей-богу,1
желание,1
железнодорожнику,1
желтой,1
желчи,1
желчь,1
жидкостью,1
жрецы,1
заболеешь,1
заболел,1
забормотал,1
завернув,1
завозилась,1
заволакивать,1
завтра,1
заговорить,1
задумался,1
закинутой,1
закутанные,1
закутанных,1
замечаешь,1
занесу,1
запах,1
запахом,1
запечатав,1
засим,1
заставлял,1
звонче,1
здесь,1
здоровом,1
зевнул,1
зедоариа,1
зубной,1
зубы,1
идешь,1
идти,1
извините,1
их,1
ища,1
казалось,1
какая,1
какая-то,1
карман,1
кассу,1
ключом,1
коврами,1
колер,1
конторки,1
конторкой,1
конфузясь,1
кончая,1
кончил,1
коп,1
копейки,1
копошились,1
коробку,1
корчат,1
косметические,1
которой,1
кредита,1
кровать,1
кроме,1
кружочки,1
кулака,1
курит,1
кухню,1
латинскую,1
легкий,1
лежавшую,1
лениво,1
лестнице,1
лечь,1
ли,1
лицом,1
лишние,1
любезны,1
люди,1
мази,1
мазь,1
маленький,1
маленькой,1
мальчик,1
материя,1
медленно,1
медленное,1
медных,1
медяки,1
меняются,1
мерно,1
мерным,1
металлический,1
минутку,1
можно,1
монет,1
мраморную,1
мудренее,1
мыла,1
надменно-ученую,1
надписи,1
названиями,1
найдя,1
напасть,1
направо,1
напускают,1
нас,1
наука,1
науки,1
нахмуренные,1
нахмурился,1
начинается,1
начиная,1
наши,1
невозможно,1
невыносимо,1
некого,1
немного,1
нему,1
ненужного,1
неподвижно,1
неподвижную,1
несколько,1
ним,1
ногах,1
ногтями,1
номера,1
ну,1
нужно,1
нюхали,1
